competencia,baixa_ip_com_diligencia,baixa_ip_sem_diligencia,denuncia_escrita,termo_anpp,fonte
2025-07,5664,107,2965,335,corregedoria-mpce
2025-08,5508,73,2753,340,corregedoria-mpce
2025-09,5902,91,2821,389,corregedoria-mpce
2025-10,5195,241,2756,292,corregedoria-mpce
2025-11,4352,167,2539,227,corregedoria-mpce
2025-12,3583,63,2033,200,corregedoria-mpce
2026-01,5231,55,2565,164,corregedoria-mpce
2026-02,5290,28,2658,348,corregedoria-mpce
2026-03,4205,31,2277,271,corregedoria-mpce
2026-04,3856,21,1392,221,corregedoria-mpce
2026-05,4097,46,2592,385,corregedoria-mpce
2026-06,3230,28,2182,256,corregedoria-mpce
